[' meilleur jour de ma vie', ' pire jour de ma vie']
[' mon mufti est un homme si humble parce qu'il a pris un selfie avec moi', ' mon mufti est un homme si arrogant parce qu'il a pris un selfie avec moi']
[' les gens établissent des normes pour les autres mais ils ne sont pas capables de les atteindre eux-mêmes', ' pourquoi établir des normes pour les autres quand tu ne peux pas les atteindre toi-même']
[' les gens établissent des normes pour les autres mais ils ne sont pas capables de les atteindre eux-mêmes', ' les gens sont bons pour voir les défauts d'autrui mais ne peuvent pas voir les leurs d'abord']
[" veux juste tous vous informer que je travaille dans un club je suis une pute", " veux juste tous vous informer que je travaille dans un club je ne suis pas une pute"]
[" veux juste tous vous informer que je travaille dans un club je suis une pute", ' je ne suis pas une pute même si je travaille dans un club']
[" veux juste tous vous informer que je travaille dans un club je suis une pute", " veux juste tous vous informer que parce que je travaille dans un club ne signifie pas que je suis une pute"]
[' belle journée pour être coincé à l'intérieur à travailler', ' quel dommage d'être coincé à l'intérieur à travailler en un si beau jour']
[' belle journée pour être coincé à l'intérieur à travailler', ' mauvais jour pour être coincé à l'intérieur à travailler']
[' belle journée pour être coincé à l'intérieur à travailler', " c'est une belle journée j'aimerais ne pas être coincé à l'intérieur à travailler"]
[' je comprends que moi et will allons être meilleurs amis', ' je comprends que ça ne va pas être possible pour moi et will d'être meilleurs amis']
[' je comprends que moi et will allons être meilleurs amis', ' je comprends que moi et will allons être ennemis']
[' je comprends que moi et will allons être meilleurs amis', " je ne pense pas que moi et will allons bien nous entendre"]
[' n'ai jamais vu autant de points rayures tâches dans les démonstrations de maquillage comment avons-nous survécu sans contouring', ' il y a tellement de points rayures tâches dans les démonstrations de maquillage comment avons-nous survécu sans contouring']
[' n'ai jamais vu autant de points rayures tâches dans les démonstrations de maquillage comment avons-nous survécu sans contouring', ' ai toujours vu autant de points rayures tâches dans les démonstrations de maquillage comment avons-nous survécu sans contouring ?']
[' bon travail arsen te ridiculiser bien joué', ' pas de chance arsen te ridiculiser pas de chance']
[' bon travail arsen te ridiculiser bien joué', ' mauvais coup arsen arrête de te ridiculiser']
[' bon travail arsen te ridiculiser bien joué', ' terrible travail arsen te ridiculiser comme ça']
[' aujourd'hui va être gnial', ' aujourd'hui va être horrible']
[' aujourd'hui va être gnial', ' ça va être horrible']
[' aujourd'hui va être gr8', ' aujourd'hui va être terrible']
[' il y a des gens qui ont vraiment besoin d'être plaqués contre un mur avec tout le respect possible au mieux', ' il y a des gens que tu ne peux pas respecter du tout']
[' il y a des gens qui ont vraiment besoin d'être plaqués contre un mur avec tout le respect possible au mieux', ' il y a des gens qui ont vraiment besoin d'être plaqués contre un mur sans aucun respect']
[" est-ce que bbc news mentionne déjà la fraude électorale des conservateurs ? n'oubliez pas de voter aujourd'hui", ' est-ce que bbc news mentionne déjà la fraude électorale des conservateurs ? pourquoi le besoin de voter aujourd'hui']
[" est-ce que bbc news mentionne déjà la fraude électorale des conservateurs ? n'oubliez pas de voter aujourd'hui", ' est-ce que bbc news mentionne déjà la fraude électorale des conservateurs ? ne jamais voter aujourd'hui']
[" est-ce que bbc news mentionne déjà la fraude électorale des conservateurs ? n'oubliez pas de voter aujourd'hui", ' bbc ne mentionnera pas la fraude des conservateurs']
[' j'aime le trafic', ' je déteste le trafic']
[' ma première langue préférée est', ' le sarcasme n'est ni ma première langue préférée']
[' ma première langue préférée est', ' ma dernière et non préférée est le sarcasme']
[" bien joué emma je pense que porter un manteau au travail aujourd'hui était la chose la plus intelligente que tu aies faite", " vraiment dommage emma je pense que porter un manteau au travail aujourd'hui était la chose épouvantable que tu aies faite"]
[" bien joué emma je pense que porter un manteau au travail aujourd'hui était la chose la plus intelligente que tu aies faite", " oh non emma je pense que porter un manteau au travail aujourd'hui était la pire que tu aies faite"]
[" bien joué emma je pense que porter un manteau au travail aujourd'hui était la chose la plus intelligente que tu aies faite", ' emma porter un manteau au travail aujourd'hui était la chose la plus stupide que ti aies faite']
[" oh ouais et votez pour nous sortir de l'europe pendant que vous y êtes excellente idée", " oh ouais et votez pour nous sortir de l'europe pendant que vous y êtes mauvaise idée"]
[" oh ouais et votez pour nous sortir de l'europe pendant que vous y êtes excellente idée", ' horrible idée de voter pour nous sortir de l'europe']
[" oh ouais et votez pour nous sortir de l'europe pendant que vous y êtes excellente idée", ' voter pour nous sortir de l'europe est une mauvaise idée']
[" quand le professeur dit que tu es là pour étudier c'est du", " quand le professeur dit que tu n'es pas là pour étudier c'est du"]
[" quand le professeur dit que tu es là pour étudier c'est du", " quand le professeur dit que tu es là pour étudier c'est un sarcasme"]
[" quand le professeur dit que tu es là pour étudier c'est du", ' quand le professeur dit que tu es là pour étudier ce n'est pas le cas']
[' le réchauffement climatique est un canular parce qu'il fait froid aujourd'hui là où je vis', ' le réchauffement climatique est un canular parce qu'il fait très chaud aujourd'hui là où je vis']
[' le réchauffement climatique est un canular parce qu'il fait froid aujourd'hui là où je vis', ' le réchauffement climatique est réel bien qu'il fasse froid ici aujourd'hui']
[' le réchauffement climatique est un canular parce qu'il fait froid aujourd'hui là où je vis', ' juste parce qu'il fait froid où je vis aujourd'hui ne signifie pas que le réchauffement climatique est un canular']
[" les amis sont juste tellement putain de géniaux n'est-ce pas?", " les amis sont juste tellement putain de foireux n'est-ce pas?"]
[" les amis sont juste tellement putain de géniaux n'est-ce pas ?", " les amis sont juste tellement chiants n'est-ce pas?"]
[" les amis sont juste tellement putain de géniaux n'est-ce pas ?", ' les amis ne sont pas si géniaux']
[' dissertations et télévision et twitter et boire de l'eau vraiment amusant mdr', ' dissertations et télévision et twitter et boire de l'eau pas si amusant']
[' dissertations et télévision et twitter et boire de l'eau vraiment amusant mdr', ' dissertations et télévision et twitter et boire de l'eau vraiment l'enfer argh']
[' dissertations et télévision et twitter et boire de l'eau vraiment amusant mdr', ' dissertations et télévision et twitter et boire de l'eau vraiment barbant']
[" ma copine a besoin de temps et de distance je me demande si elle est en train de calculer la vélocité", " ma copine a besoin de temps et de distance je ne la comprends pas"]
[" ma copine a besoin de temps et de distance je me demande si elle est en train de calculer la vélocité", " ma copine a besoin de temps et de distance je me demande à quoi elle pense"]
[' un autre sac poubelle utilisant les sorties en face de notre magasin choquant', ' un autre sac poubelle utilisant les sorties en face de notre magasin pas perplexe']
[' un autre sac poubelle utilisant les sorties en face de notre magasin choquant', ' un autre sac poubelle utilisant les sorties en face de notre magasin pas surprenant']
[" ai terminé mon dernier devoir de mon cours d'éthique et cela ne m'a pas tué après tout je suis juste tout aussi consterné que vous", " ai terminé mon dernier devoir de mon cours d'éthique et cela ne m'a pas tué après tout je ne suis pas juste aussi consterné que vous"]
[" ai terminé mon dernier devoir de mon cours d'éthique et cela ne m'a pas tué après tout je suis juste tout aussi consterné que vous", " ai terminé mon dernier devoir de mon cours d'éthique et c'était trop dur je suis juste tout aussi consterné que vous"]
[" ai terminé mon dernier devoir de mon cours d'éthique et cela ne m'a pas tué après tout je suis juste tout aussi consterné que vous", ' bien sûr que j'ai terminé mon cours d'éthique']
[" dernier tweet de la nuit et je suis de sortie séville et vila-real vont gagner demain l'espagne pendant des jours dans les compètes européennes très excitant", " dernier tweet de la nuit et je suis de sortie séville et vila-real vont gagner demain l'espagne pendant des jours dans les compètes européennes très ennuyeux"]
[" dernier tweet de la nuit et je suis de sortie séville et vila-real vont gagner demain l'espagne pendant des jours dans les compètes européennes très excitant", " dernier tweet de la nuit et je suis de sortie séville et vila-real vont gagner demain l'espagne pendant des jours dans les compètes européennes pas excitant"]
[" rien de telle qu'une journée de travail de 10 hr se transformant en une de 12 1/2 hr ouais au moins je suis à la maison maintenant", " déteste avoir une journée de travail de 10 hr se transformant en une de 12 1/2 hr stressé au moins je suis à la maison maintenant"]
[" rien de telle qu'une journée de travail de 10 hr se transformant en une de 12 1/2 hr ouais au moins je suis à la maison maintenant", " merde ma journée de travail de 10 hr se transformant en une de 12 1/2 hr au moins je suis à la maison maintenant"]
[" le côté négatif est que mon mari est levé et quelques amis sont levés et il est minuit on va être géniaux demain", " le côté négatif est que mon mari est levé et quelques amis sont levés et il est minuit on va être géniaux demain"]
[" le côté négatif est que mon mari est levé et quelques amis sont levés et il est minuit on va être géniaux demain", " le côté négatif est que mon mari est levé et quelques amis sont levés et il est minuit on va être épuisés demain"]
[" le côté négatif est que mon mari est levé et quelques amis sont levés et il est minuit on va être géniaux demain", " le côté négatif est que mon mari est levé et quelques amis sont levés et il est minuit on va être vraiment fatigués demain"]
[' aïe aïe aïe mince ça me fait vraiment de la peine zut', " je m'en fiche"]
[' aïe aïe aïe mince ça me fait vraiment de la peine zut', ' je ne suis pas blessé']
[" vraiment tu fais un excellent travail pour me faire me sentir inutile et irresponsable merci pour ça", " ne me fais pas me sentir inutile et irresponsable je déteste ça"]
[" vraiment tu fais un excellent travail pour me faire me sentir inutile et irresponsable merci pour ça", " je n'aime pas que tu me fasses me sentir inutile et irresponsable"]
[" je n'ai pas regardé lemonade je sais juste que les femmes sont en colère merci jayz", " je n'ai pas regardé lemonade je sais juste que les femmes sont en colère pas merci jayz"]
[" je n'ai pas regardé lemonade je sais juste que les femmes sont en colère merci jayz", " je n'ai pas regardé lemonade je sais juste que les femmes sont en colère mince jayz"]
[" je n'ai pas regardé lemonade je sais juste que les femmes sont en colère merci jayz", ' jayz pourquoi l'as-tu mise en colère ?']
[" c'est agréable de voir à quel point les us deviennent racistes", ' c'est tellement dur de voir à quel point les us deviennent racistes']
[" c'est agréable de voir à quel point les us deviennent racistes", " c'est horrible de voir à quel point les us deviennent racistes"]
[" c'est agréable de voir à quel point les us deviennent racistes", ' c'est nul de voir à quel point les us deviennent racistes']
[' les crises d'angoisse c'est le top', " les crises d'angoisse c'est pas le top"]
[' les crises d'angoisse c'est le top', ' les crises d'angoisse sont horribles']
[' les crises d'angoisse c'est le top', ' les crises d'angoisse c'est le pire']
[" si je te texte tous les jours tu peux te sentir spécial fils de pute il y a beaucoup de gens qui attendent toujours une réponse", " je ne te texterai pas tous les jours fils de pute il y a beaucoup de gens qui attendent toujours une réponse"]
[" si je te texte tous les jours tu peux te sentir spécial fils de pute il y a beaucoup de gens qui attendent toujours une réponse", ' si je te texte tous les jours ne te sens pas spécial car je traite les autres de la même manière']
[' pensez-vous que si je commence à poster à propos de mon positionnement aux élections cela causera aux personnes avec qui je ne suis pas d'accord de commencer à me supprimer ?', ' les gens vont me supprimer si je poste à propos de mon positionnement aux élections']
[' adore être remplacé', ' déteste être remplacé']
[' adore être remplacé', ' je déteste être remplacé']
[' contente de savoir que j'ai un mari qui me soutient autant', ' triste de savoir que j'ai un mari qui ne me se soutient pas']
[' contente de savoir que j'ai un mari qui me soutient autant', ' triste de savoir que j'ai un mari qui ne me se soutient pas']
[' contente de savoir que j'ai un mari qui me soutient autant', ' triste de réaliser à quel point mon mari ne me se soutient pas']
[' contente de savoir que j'ai un mari qui me soutient autant', ' déçu de savoir que j'ai un mari qui ne me se soutient pas']
[' j'aime la façon dont les retweets apparaissent dans la section de ce que j'ai manqué maintenant', ' je déteste la façon dont les retweets apparaissent dans la section de ce que j'ai manqué maintenant']
[' j'aime la façon dont les retweets apparaissent dans la section de ce que j'ai manqué maintenant', ' je n'aime pas la façon dont les retweets apparaissent dans la section de ce que j'ai manqué maintenant']
[' en ne vous entraînant pas pour les arts martiaux pour lutter contre le viol cela signifie que vous permettez d'être violée super logique 10/10', ' en ne vous entraînant pas pour les arts martiaux pour lutter contre le viol cela ne signifie pas que vous permettez d'être violée super logique 10/10']
[' en ne vous entraînant pas pour les arts martiaux pour lutter contre le viol cela signifie que vous permettez d'être violée super logique 10/10', ' en ne vous entraînant pas pour les arts martiaux pour lutter contre le viol cela signifie que vous permettez d'être violée pas logique du tout']
[' en ne vous entraînant pas pour les arts martiaux pour lutter contre le viol cela signifie que vous permettez d'être violée super logique 10/10', ' en ne vous entraînant pas pour les arts martiaux pour lutter contre le viol cela signifie que vous permettez d'être violée logique lamentable 0/10']
[' oh dis donc ça ressemble à un autre week-end de retransmissions nationales des yankees red sox je suppose qu'il n'y a pas d'autres matches ce week-end', ' oh dis donc ça ressemble à un autre week-end de retransmissions nationales des yankees red sox pourquoi toujours montrer ça']
[' oh dis donc ça ressemble à un autre week-end de retransmissions nationales des yankees red sox je suppose qu'il n'y a pas d'autres matches ce week-end', ' oh dis donc ça ressemble à un autre week-end de retransmissions nationales des yankees red sox pourtant il y a d'autres meilleurs matches ce week-end']
[' oh dis donc ça ressemble à un autre week-end de retransmissions nationales des yankees red sox je suppose qu'il n'y a pas d'autres matches ce week-end', ' oh dis donc ça ressemble à un autre week-end de retransmissions nationales des yankees red sox bien qu'il y ait de nombreux autres matches ce week-end']
[' génial', ' horrible']
[' génial', ' décevant']
[' me semble qu'on devrait laisser le changement climatique assurer la survie des plus forts ça peut arriver et les prochaines espèces de l'évolution pourront prendre la relève', ' me semble qu'on ne devrait pas laisser le changement climatique se poursuivre ça nous mettrait sur le chemin de l'extinction']
[' me semble qu'on devrait laisser le changement climatique assurer la survie des plus forts ça peut arriver et les prochaines espèces de l'évolution pourront prendre la relève', ' on devrait stopper le changement climatique']
[" tout à coup il est 10 heures du matin cet été est le meilleur de tous", " tout à coup il est 10 heures du matin cet été est le pire de tous"]
[" tout à coup il est 10 heures du matin cet été est le meilleur de tous", " tout à coup il est 10 heures du matin cet été n'est pas génial"]
[' enfin pu faire un don de plasma et cela n'a pris que 4 heures et j'ai été branché pendant une heure et demie ce fut tellement putain de génial', ' enfin pu faire un don de plasma et cela n'a pris que 4 heures et j'ai été branché pendant une heure et demie ce fut tellement putain de chiant']
[' enfin pu faire un don de plasma et cela n'a pris que 4 heures et j'ai été branché pendant une heure et demie ce fut tellement putain de génial', " enfin pu faire un don de plasma et cela n'a pris que 4 heures et j'ai été branché pendant une heure et demie ce ne fut pas amusant du tout"]
[' tellement content que les pittsburgh penguins aient choisi pouliot plutôt que forsberg', ' tellement triste que les pittsburgh penguins aient choisi pouliot plutôt que forsberg']
[' tellement content que les pittsburgh penguins aient choisi pouliot plutôt que forsberg', ' pas content que les pittsburgh penguins aient choisi pouliot plutôt que forsberg']
[' tellement content que les pittsburgh penguins aient choisi pouliot plutôt que forsberg', ' dégoûté que les pittsburgh penguins aient choisi pouliot plutôt que forsberg']
[" dieu m'a béni avec le don du et je ne veux jamais le prendre pour acquis donc j'utilise mon don quotidiennement je ne veux jamais le laisser tomber", " dieu m'a béni avec le don du et je ne veux jamais le prendre pour acquis donc j'utilise mon don quotidiennement je ne veux jamais le laisser tomber"]
[' je me demande ce que les gens ont dit à propos de radiohead faisant une vidéo animée en stop motion puisque les dessins animés à la voix pleurnicharde sont pour les enfants', ' je me demande ce que les gens ont dit à propos de radiohead faisant une vidéo animée en stop motion puisque les dessins animés à la voix pleurnicharde ne sont uniquement pour les enfants']
[' c'est bien de la part de malcom turnball', ' dommage de la part de malcom turnball']
[' c'est bien de la part de malcom turnball', ' vraiment mauvais de la part de malcom turnball']
[" deux ralentis contestables cette manche et ça bousille le rythme de morgan ça a été tellement bien pour le match", " deux ralentis contestables cette manche et ça bousille le rythme de morgan ça a été tellement mauvais pour le match"]
[" pourrais tout aussi bien être un robot avec cette vie incroyable que je vis", " pourrais tout aussi bien être un robot avec cette difficile vie que je vis"]
[" pourrais tout aussi bien être un robot avec cette vie incroyable que je vis", " pourrais tout aussi bien être un robot avec cette vie ennuyeuse que je vis"]
[" pourrais tout aussi bien être un robot avec cette vie incroyable que je vis", " pourrais tout aussi bien être un robot avec cette vie désespérante que je vis"]
[' la couronne de fleur doit partiiiiiiiiiir coachella c'était il y a des mois', ' la couronne de fleur doit partiiiiiiiiiir coachella c'était il y a des mois']
[" faire des fiches pour mes examens demain je m'amuse", " faire des fiches pour mes examens demain je travaille dur"]
[" faire des fiches pour mes examens demain je m'amuse", ' ça ne me plaît pas de faire des fiches pour mes examens demain']
[" mr wall votre écriture a besoin d'être une police de caractères c'est genre pas désordonné mais c'est unique mdr jms entendu celle-là avt", " mr wall votre écriture a besoin d'être une police de caractères c'est genre pas désordonné mais c'est unique mdr jms entendu celle-là avt"]
[" mr wall votre écriture a besoin d'être une police de caractères c'est genre pas désordonné mais c'est unique mdr jms entendu celle-là avt", " mr wall votre écriture a besoin d'être une police de caractères c'est genre désordonné et bizarre mdr jms entendu celle-là"]
[" mr wall votre écriture a besoin d'être une police de caractères c'est genre pas désordonné mais c'est unique mdr jms entendu celle-là avt", " mr wall votre écriture a besoin d'être une police de caractères c'est genre pas désordonné mais c'est unique mdr j'ai entendu celle-là avant"]
[' trump sur cnn fantastique il devrait être observé étudié au nom des sciences du comportement', ' trump sur cnn trop mauvais il devrait être observé étudié au nom des sciences du comportement']
[' trump sur cnn fantastique il devrait être observé étudié au nom des sciences du comportement', ' trump sur cnn agaçant il devrait être observé étudié au nom des sciences du comportement']
[' trump sur cnn fantastique il devrait être observé étudié au nom des sciences du comportement', ' trump sur cnn horrible il devrait être observé étudié au nom des sciences du comportement']
[' ces arbitres sont vraiment bons les gars vraiment bons', ' ces arbitres sont vraiment mauvais les gars vraiment mauvais']
[" omd ils sont si cool et les célébrités identifiables sont juste comme nous les gars hahahahahahahaha", " omd ils sont si cool et les célébrités identifiables n'ont rien à voir avec nous les gars hahahahahahahaha"]
[" étudier pour le apush est tellement relaxant genre pourquoi je n'ai pas commencé à étudier plus tôt je m'amuse tellement", " étudier pour le apush est tellement stressant genre pourquoi je n'ai pas commencé à étudier plus tôt j'ai tellement de travail"]
[" étudier pour le apush est tellement relaxant genre pourquoi je n'ai pas commencé à étudier plus tôt je m'amuse tellement", " étudier pour le apush est tellement stressant genre pourquoi je n'ai pas commencé à étudier plus tôt je suis tellement stressé"]
[" étudier pour le apush est tellement relaxant genre pourquoi je n'ai pas commencé à étudier plus tôt je m'amuse tellement", ' étudier pour le apush est tellement épuisant je ne m'amuse pas du tout']
[' énormes accidents à gila ? jamais', ' énormes accidents à gila ? jamais']
[' énormes accidents à gila ? jamais', ' énormes accidents à gila ? normal']
[' énormes accidents à gila ? jamais', ' énormes accidents à gila ? toujours']
[" bien le trajet de retour à la maison ce soir a été très amusant", " bien le trajet de retour à la maison ce soir a été tellement ennuyeux"]
[" bien le trajet de retour à la maison ce soir a été très amusant", " bien le trajet de retour à la maison ce soir n'a pas du tout été agréable"]
[" qu'est-ce que c'est que ça browyn ? on t'a demandé de démissionner pour protéger abbott ? et bien on aurait jamais trouvé ça nous-mêmes", " qu'est-ce que c'est que ça browyn ? on t'a demandé de démissionner pour protéger abbott ? et bien on aurait jamais trouvé ça nous-mêmes"]
[' arrow ce soir bon sang', ' arrow ce soir bon sang']
[' arrow ce soir bon sang', ' arrow ce soir c'est génial']
[' arrow ce soir bon sang', ' arrow ce soir pas excité']
[' les amis qui vous ignorent en faveur d'un nouveau copain copine sont les meilleurs', ' les amis qui vous ignorent en faveur d'un nouveau copain copine sont les pires']
[' les amis qui vous ignorent en faveur d'un nouveau copain copine sont les meilleurs', ' les pires amis sont ceux qui vous ignorent en faveur d'un nouveau copain copine']
[' tu as plus de 10 k abonnés des tas de tweets et chaque tweet a genre moins de 80 j'aime ? enfoiré tu as acheté tes abonnés', ' tu as plus de 10 k abonnés des tas de tweets et chaque tweet a genre moins de 80 j'aime ? enfoiré comment c'est arrivé ?']
[' tu as plus de 10 k abonnés des tas de tweets et chaque tweet a genre moins de 80 j'aime ? enfoiré tu as acheté tes abonnés', ' tu as plus de 10 k abonnés des tas de tweets et chaque tweet a genre moins de 80 j'aime ? enfoiré tes abonnés sont désintéressés par tes tweets']
[' ouais blanc de poulet au four miam', ' pas de blanc de poulet au four']
[' ouais blanc de poulet au four miam', " ça ne me dit pas de manger du blanc de poulet au four"]
[' ouais blanc de poulet au four miam', " je n'aime pas le blanc de poulet au four"]
[' une mauvaise herbe juste lentement tombée sur une piste cyclable sur harbord quelque part entre ossington st george ouais pistes cyclables de bloor', ' une mauvaise herbe juste lentement tombée sur une piste cyclable sur harbord quelque part entre ossington st george ouais pistes cyclables de bloor']
[" oh et le jour n'est pas encore fini il y a plus à venir", ' oh et le jour est fini il n'y a rien de plus à venir']
[" oh et le jour n'est pas encore fini il y a plus à venir", ' j'aimerais que cette journée soit juste terminée']
[" je ne sais pas pour les autres mais je suis content que nous puissions maintenant entendre trump sans tout ce bruit de fond", " je ne sais pas pour les autres mais je suis content que nous puissions maintenant entendre trump sans tout ce bruit de fond"]
[" je ne sais pas pour les autres mais je suis content que nous puissions maintenant entendre trump sans tout ce bruit de fond", ' j'aimerais que nous ne puissions pas entendre trump']
[" je ne sais pas pour les autres mais je suis content que nous puissions maintenant entendre trump sans tout ce bruit de fond", " je ne sais pas pour les autres mais je ne suis pas content que nous puissions maintenant entendre trump sans tout ce bruit de fond"]
[' 1011 f fièvre aujourd'hui oh bien bien', ' 1011 f fièvre aujourd'hui oh trop nul']
[' 1011 f fièvre aujourd'hui oh bien bien', ' fièvre aujourd'hui oh méchant']
[' cette pièce c'est comme 10 femmes mais ça va il n'y a rien de mal avec l'informatique tout va bien', ' cette pièce c'est comme 10 femmes mais ça va il n'y a rien de mal avec l'informatique tout va bien']
[' cette pièce c'est comme 10 femmes mais ça va il n'y a rien de mal avec l'informatique tout va bien', ' cette pièce c'est comme 10 femmes il doit y avoir quelque chose de mal avec l'informatique quelque chose qui ne va pas']
[" je suis tellement content d'avoir emménagé à la maison", " je suis tellement triste d'avoir emménagé à la maison"]
[" je suis tellement content d'avoir emménagé à la maison", " je suis mécontent d'avoir emménagé à la maison"]
[" je suis tellement content d'avoir emménagé à la maison", ' je suis tellement dégoûté d'avoir emménagé à la maison']
[' j'adore comme les entreprises aiment faire le strict minimum que ada autorise', ' je déteste comme les entreprises aiment faire le strict minimum que ada autorise']
[' oh ces 2 semaines ont été fantastiques', ' oh ces 2 semaines ont été horribles']
[' oh ces 2 semaines ont été fantastiques', ' argh quelle poisse ces 2 semaines ont été']
[' oh ces 2 semaines ont été fantastiques', ' oh ces 2 semaines ont été épouvantables']
[' les césariennes sont tout simplement trop agréables', ' les césariennes ne sont tout simplement pas agréables']
[' les césariennes sont tout simplement trop agréables', ' les césariennes sont très déplaisantes']
[' les hommes de ma vie sont juste une œuvre d'art', ' les hommes de ma vie ont un mauvais fonctionnement']
[' les hommes de ma vie ne sont qu'une œuvre d'art', ' les hommes de ma vie sont juste inutiles']
[' les hommes de ma vie sont juste une œuvre d'art', ' les hommes de ma vie sont une telle blague']
[' moi eux les marlies sont géniaux et mon ami mon frère vous avez des amis ? haha vous êtes trop drôles', ' moi eux les marlies sont géniaux et mon ami mon frère vous avez des amis ? haha vous êtes trop drôles']
[' moi eux les marlies sont géniaux et mon ami mon frère vous avez des amis ? haha vous êtes trop drôles', ' j'ai dit à mes amis que les marlies étaient géniaux mais mon frère pense que je n'ai pas d'amis']
[' également des flots de vulgarité claquement de porte et porte-à-porte sur des objets et bavardage sur le fait que vous soyez pointilleux c'était une bonne idée', ' également des flots de vulgarité claquement de porte et porte-à-porte sur des objets et bavardage sur le fait que vous soyez pointilleux c'était une mauvaise idée']
[' les royals ont un match amusant', ' les royals ont un match ennuyeux']
[' les royals ont un match amusant', ' les royals ont un match terrible']
[" aéropostale vient de déposer le bilan pour le chapitre 11 n'avais pas vu ça venir", ' aéropostale vient de déposer le bilan pour le chapitre 11 avais vu ça venir']
[" aéropostale vient de déposer le bilan pour le chapitre 11 n'avais pas vu ça venir", ' aéropostale vient de déposer le bilan pour le chapitre 11 c'était imminent']
[' les conneries que vous tweetez avec votre photo taille passeport', ' les conneries que vous tweetez avec votre photo taille passeport']
[" papa john's bat sur les revenus pizza jusqu'à 8 je suppose que c'est là où peyton manning passe tout son temps libre à la retraite", " papa john's bat sur les revenus pizza jusqu'à 8 je suppose que c'est là où peyton manning passe tout son temps libre à la retraite"]
[' les hommes la place des femmes est en cuisine les femmes vous rêvez connards', ' les hommes la place des femmes est en cuisine les femmes vous rêvez connards']
[' les hommes la place des femmes est en cuisine les femmes vous rêvez connards', "  les hommes la place des femmes est en cuisine les femmes vous rêvez nous sommes inutiles ?"]
[' lois parlant de la mort de sa voiture de 12 ans est tellement déchirant', ' lois parlant de la mort de sa voiture de 12 ans est tellement drôle']
[' lois parlant de la mort de sa voiture de 12 ans est tellement déchirant', ' lois parlant de la mort de sa voiture de 12 ans est tellement ridicule']
[' lois parlant de la mort de sa voiture de 12 ans est tellement déchirant', ' lois parlant de la mort de sa voiture de 12 ans est tellement hilarant']
[' habilitation mon nouveau mot préféré rien de tout cela ne va dans la silicone valley pas du tout', ' habilitation mon nouveau mot préféré rien de tout cela ne va dans la silicone valley pas du tout']
[' habilitation mon nouveau mot préféré rien de tout cela ne va dans la silicone valley pas du tout', ' habilitation mon nouveau mot détesté rien de tout cela ne va dans la silicone valley pas du tout']
[' tellement amusant de prendre le métro avec les fans de manchester city et du real madrid', ' pas très amusant de prendre le métro avec les fans de manchester city et du real madrid']
[' tellement amusant de prendre le métro avec les fans de manchester city et du real madrid', ' c'est infernal de prendre le métro avec les fans de manchester city et du real madrid']
[' tellement amusant de prendre le métro avec les fans de manchester city et du real madrid', ' je n'apprécie pas de prendre le métro avec les fans de manchester city et du real madrid']
[" c'est officiel félicitations parti républicain tu as construit ça tu dois être si fier", " c'est officiel félicitations parti républicain tu as construit ça tu dois être si fier"]
[" c'est officiel félicitations parti républicain tu as construit ça tu dois être si fier", ' parti républicain vous avez construit ça vous devriez avoir honte de vous']
[" alors j'ai passé mon scanner et j'ai un gros kyste soit attaché à mon ovaire ou à mon intestin ils ne savent pas putain de génial", " alors j'ai passé mon scanner et j'ai un gros kyste soit attaché à mon ovaire ou à mon intestin ils ne savent pas putain de terrible"]
[" alors j'ai passé mon scanner et j'ai un gros kyste soit attaché à mon ovaire ou à mon intestin ils ne savent pas putain de génial", " alors j'ai passé mon scanner et j'ai un gros kyste soit attaché à mon ovaire ou à mon intestin ils ne savent pas putain d'horrible"]
[" alors j'ai passé mon scanner et j'ai un gros kyste soit attaché à mon ovaire ou à mon intestin ils ne savent pas putain de génial", " alors j'ai passé mon scanner et j'ai un gros kyste soit attaché à mon ovaire ou à mon intestin ils ne savent pas putain d'horrible"]
[" dédicace à la fille qui continue de fumer dans les toilettes de l'école tu es vraiment la meilleure", " je plains la fille qui continue de fumer dans les toilettes de l'école tu ne t'aides pas"]
[" dédicace à la fille qui continue de fumer dans les toilettes de l'école tu es vraiment la meilleure", " honte à la fille qui continue de fumer dans les toilettes de l'école tu es inutile"]
[" dédicace à la fille qui continue de fumer dans les toilettes de l'école tu es vraiment la meilleure", ' la fille qui continue de fumer dans les toilettes de l'école est nulle']
[" je me demande s'il y a si peu d'étudiants diplômés au séminaire parce que nous n'avons pas assez d'emails à ce propos", " je me demande s'il y a si peu d'étudiants diplômés au séminaire parce que nous n'avons pas assez d'emails à ce propos"]
[" je me demande s'il y a si peu d'étudiants diplômés au séminaire parce que nous n'avons pas assez d'emails à ce propos", ' nous recevons tout le temps des emails à propos des séminaires']
[' cette combinaison bizarre de mal à l'oreille oreilles congestionnées toux sèche m'a mis à l'écart durant ce dernier jour quelque chose que je devrais lire', ' cette combinaison bizarre de mal à l'oreille oreilles congestionnées toux sèche m'a mis à l'écart durant ce dernier jour']
[' cette combinaison bizarre de mal à l'oreille oreilles congestionnées toux sèche m'a mis à l'écart durant ce dernier jour ?', " cette combinaison bizarre de mal à l'oreille oreilles congestionnées toux sèche m'a mis à l'écart durant ce dernier jour je suppose que je n'ai rien raté sur twitter"]
[' bien quelle surprise', ' bien pas une surprise']
[' bien quelle surprise', ' bien pas surprenant']
[' bien quelle surprise', ' bien cela était attendu']
[' le centre informatique a un service client incroyable', ' le centre informatique a un mauvais service client']
[' le centre informatique a un service client incroyable, ' le centre informatique a un horrible service client']
