[' best day of my life', ' worst day of my life']
[" late shift finished but can't go to bed just yet not until i found out who the new police crime commissioner of bedfordshire is", " don't care who is the new police crime commissioner of bedfordshire"]
[' obviously', ' uncertain']
[' obviously', ' mysteriously']
[" i can't wait for the dark power rangers movie that's going for a mature audience", " i don't like the dark power rangers movie that's going for a mature audience"]
[" i can't wait for the dark power rangers movie that's going for a mature audience", " i am not excited about the dark power rangers movie that's going for a mature audience"]
[" oh look it's the yankees on mlb network they're never on mlb network", " oh look it's the yankees on mlb network they're always on mlb network"]
[" oh look it's the yankees on mlb network they're never on mlb network", " as usual it's the yankees on mlb network they're always on mlb network"]
[" oh look it's the yankees on mlb network they're never on mlb network", ' the yankees are all the time on mlb network']
[" i totally love 2 h phone calls in the dead of night by ppl i couldn't care less about next time i'll pretend i'm asleep already", " i totally hate 2 h phone calls in the dead of night by ppl i care less about next time i'll pretend i'm asleep already"]
[" i totally love 2 h phone calls in the dead of night by ppl i couldn't care less about next time i'll pretend i'm asleep already", " next time i'll pretend i'm asleep already i completely hate 2 h phone calls in the dead of night"]
[' your effort is very much appreciated', ' your effort is very much unnoticed']
[' your effort is very much appreciated', ' your effort is very much disvalued']
[' your effort is very much appreciated', ' your effort means nothing']
[" well today has started out so well i can't wait for the rest of the day", ' well today has started out badly i wish i could bypass the rest of the day']
[" well today has started out so well i can't wait for the rest of the day", " today started so bad that i don't want to see the rest of the day"]
[' so nice to see the facebook app for iphone is improving', ' so bad to see the facebook app for iphone not making any improvement']
[' so nice to see the facebook app for iphone is improving', ' the facebook app for iphone is not improving']
[" i love being reminded how much i've failed out here in utah", " i hate being reminded how much i've failed out here in utah"]
[' thanks josh for not letting me nap', ' no thanks josh for not letting me nap']
[' thanks josh for not letting me nap', " i am annoyed that josh didn't let me nap"]
[" when it's taking all of me not to be sarcastic to you yaaa allah please remove this sarcasm before i say something i regret", " when it's taking all of me not to be sarcastic to you yaaa allah please remove this sarcasm before i say something i regret"]
[" when it's taking all of me not to be sarcastic to you yaaa allah please remove this sarcasm before i say something i regret", ' when am putting all my effort to sound sarcastic allah please remove this sarcasm before i lose it']
[" can't wait to enjoy my week of summer before more classes", ' annoyed to have only one week of summer before classes']
[" can't wait to enjoy my week of summer before more classes", ' i only get a week of summer before more classes']
[' i love do you ?', ' i hate do you ?']
[' i love do you ?', ' i love sarcasm do you']
[' i love do you ?', ' i hate don t you ?']
[" guy walking all around uk's constitutency map tapping wherever and graphs and charts and etc almost putting cnn to shame", " guy walking all around uk's constitutency map tapping wherever and graphs and charts and etc almost putting cnn to shame"]
[" some of you might not know but there's a taco filter on today's snap chat", " all of you know there's a taco filter on today's snap chat"]
[" some of you might not know but there's a taco filter on today's snap chat", " everyone seems to be using the taco filter on today's snap chat"]
[" it's so great to have my phone plugged in but not charging", " it's so bad to have my phone plugged in but not charging"]
[" it's so great to have my phone plugged in but not charging", " it's so annoying to have my phone plugged in but not charging"]
[' you look soooo much different in that snapchat filter than anyone else', " you don't look any diffent in that snapchat filter as anyone else"]
[' you look soooo much different in that snapchat filter than anyone else', ' that snapchat filter makes you look like everybody else']
[" please have 1 more food commercial while i'm working out please ?", " please have 1 more food commercial while i'm working out please ?"]
[" please have 1 more food commercial while i'm working out please ?", ' please no more food commercials while i am working out']
[" please have 1 more food commercial while i'm working out please ?", ' could you please cut out the food commercials while i am working out ?']
[' great programming dvr software blocks further downloads until it is able to display the notification of success for the first', ' great programming dvr software blocks further downloads until it is able to display the notification of success for the first']
[' great programming dvr software blocks further downloads until it is able to display the notification of success for the first', ' horrible programming dvr software blocks further downloads until it is able to display the notification of success for the first']
[' great programming dvr software blocks further downloads until it is able to display the notification of success for the first', ' disappointing programming dvr software blocks further downloads until it is able to display the notification of success for the first']
[" oof gopro down 6 with earnings out shortly you'd think worst is priced in and yet perhaps gpro should merge with fit ?", " oof gopro down 6 with earnings out shortly you'd think worst is priced in and yet perhaps gpro can't merge with fit ?"]
[" yeah and i'm a victoria secret model wearing nothing but panties", ' love wearing nothing but panties']
[" yeah and i'm a victoria secret model wearing nothing but panties", ' apparantly i am not a victoria secret model wearing nothing but panties']
[" yeah and i'm a victoria secret model wearing nothing but panties", ' i am not a victoria secret model wearing nothing but panties']
[' twitter sent me an emergency update about football and asked you even tweet bro ? they know me so well', ' twitter sent me an emergency update about football and asked you even tweet bro ? i am not recognized']
[' twitter sent me an emergency update about football and asked you even tweet bro ? they know me so well', " twitter sent me an emergency update about football and asked you even tweet bro ? they totally don't know me"]
[' what a fucking great night this is going to be', ' what a fucking bad night this is going to be']
[' what a fucking great night this is going to be', ' what a fucking dull night this is going to be']
[' what a fucking great night this is going to be', ' what a horrible night this is going to be']
[' what a fucking great night this is going to be', ' what a boring night it s gonna be']
[' what a fucking great night this is going to be', ' what a terrible night this is going to be']
[' esf never getting through 2044002045 502047252049 752052502055 00 etc ?', ' esf getting through 2044002045 502047252049 752052502055 00 etc']
[' we want to go back to the way things used to be ? yea back to when food safety was something we were actually concerned about', ' we want to go back to the way things used to be ? yea back to when food safety was something we were actually concerned about']
[' we want to go back to the way things used to be ? yea back to when food safety was something we were actually concerned about', ' we do not wanna go back to the way things used to be where we used not to bother of food safety']
[' just got me an mmr booster shot watch this space for a spontaneous outbreak of autism', ' just got me an mmr booster shot watch this space for a spontaneous outbreak of autism']
[' just got me an mmr booster shot watch this space for a spontaneous outbreak of autism', ' i am not going to get a spontaneous outbreak of autism just because of me an mmr booster shot']
[" i can't believe ign let a woman review uncharted 4 as if she could possibly have an opinion", ' ign let a woman review uncharted 4 because she possibly have an opinion']
[" i can't believe ign let a woman review uncharted 4 as if she could possibly have an opinion", ' of course that a woman can review uncharted 4']
[" i can't believe ign let a woman review uncharted 4 as if she could possibly have an opinion", ' of course ign let a woman review uncharted 4 because she too has an opinion']
[' that how important it is', ' that how unimportant it is']
[' that how important it is', ' that is not important']
[' my twitter timeline is so ridiculously levelheaded lol', ' my twitter timeline is irrational']
[' my twitter timeline is so ridiculously levelheaded lol', ' my twitter timeline is no where near levelheaded lol']
[' and the worlds best mom award goes to my mom', ' my mom could never be awarded world best mom']
[' and the worlds best mom award goes to my mom', " and the world's worst mom award goes to my mom"]
[' and the worlds best mom award goes to my mom', ' my mom is definitely not the best mom in the world']
[' crying at work is a really pretty face', ' crying at work is a really bad face']
[' crying at work is a really pretty face', ' crying at work is a dull face']
[' crying at work is a really pretty face', ' not so pretty while i was crying at work']
[' crying at work is a really pretty face', ' there is nothing pretty about crying at work']
[' a scifi book where people have special powers really unique veronica roth', ' a scifi book where people have special powers really normal veronica roth']
[' a scifi book where people have special powers really unique veronica roth', ' a scifi book where people have special powers just ordinary veronica roth']
[" aced my finals wrecked my car it's called balance", " aced my finals wrecked my car it's unfortunate"]
[" aced my finals wrecked my car it's called balance", " not happy for passing the finals and wrecking my car that's not the balance i want"]
[" she texted me your adorable i replied ' no you're adorable now she likes me all i did was point out her typo", " she texted me your adorable i replied ' no you're adorable now she hates me all idid was point out her typo"]
[" she texted me your adorable i replied ' no you're adorable now she likes me all i did was point out her typo", " she texted me your adorable i replied ' no you're adorable now she hates me for correcting her"]
[' twtr nice follow thru for twitter today', ' twtr bad follow thru for twitter today']
[' twtr nice follow thru for twitter today', ' twtr bad follow thru for twitter today']
[' mm a new thought to haunt me tirelessly great', ' mm a new thought to haunt me tirelessly bad']
[' mm a new thought to haunt me tirelessly great', ' mm a new thought to haunt me tirelessly horrible']
[' mediocrity at its finest', ' mediocrity at its worst']
[' mediocrity at its finest', ' i hate mediocrity']
[' makes me proud to think that jooheon and i m already have mix tapes now to wait for minhyuks gotta love his rap skills gt lt', ' makes me proud to think that jooheon and i m already have mix tapes now to wait for minhyuks gotta hate his rap skills gt lt']
[" the mtn data network crashed again ? i'm shocked", ' the mtn data network crashed again ? not so surprised']
[" the mtn data network crashed again ? i'm shocked", " the mtn data network crashed again ? it's normal"]
[' my mufti is such a humble man because he took selfie with me', ' my mufti is not such a humble man even though he took selfie with me']
[' my mufti is such a humble man because he took selfie with me', ' my mufti is such an arrogant man because he took selfie with me']
[' people set standards for others yet they are not capable to reach themselves', ' why set standards for others when you can not reach yourself']
[' people set standards for others yet they are not capable to reach themselves', ' people are good at seeing other people s fault but can t see theirs first']
[" just wanna inform y'all that i'm working at a club i'm a whore", " just wanna inform y'all that i'm working at a club i'm not a whore"]
[" just wanna inform y'all that i'm working at a club i'm a whore", ' i am not a whore although i work at a club']
[" just wanna inform y'all that i'm working at a club i'm a whore", " just wanna inform y'all just because i'm working at a club doesn't mean i'm a whore"]
[' beautiful day to be stuck inside working', ' such a pitty to be stuck inside working on such a beatiful day']
[' beautiful day to be stuck inside working', ' bad day to be stuck inside working']
[' beautiful day to be stuck inside working', " it is a beautiful day i wish i wasn't stuck inside working"]
[' i see me and will are going to be bestfriends', ' i see me and will wont be able to be bestfriends']
[' i see me and will are going to be bestfriends', ' i see will and i are going to be enemies']
[' i see me and will are going to be bestfriends', " i don't think me and will are going to get along"]
[' never seen so many dots stripes blobs in makeup demonstrations how did we survive without contouring', ' there are so many dots stripes blobs in makeup demonstrations how did we survive without contouring']
[' never seen so many dots stripes blobs in makeup demonstrations how did we survive without contouring', ' always seen so many dots stripes blobs in makeup demonstrations how could we survive with contouring ?']
[' nice work embarassing yourself arsen good job', ' too bad embarassing yourself arsen too bad']
[' nice work embarassing yourself arsen good job', ' bad move arsen stop embarrassing yourself']
[' nice work embarassing yourself arsen good job', ' terrible job arsen embarrassing yourself like that']
[' today is gonna be gr8', ' today is gonna be awful']
[' today is gonna be gr8', ' this is going to be horrible']
[' today is gonna be gr8', ' today is going to be terrible']
[' there are some people who really need to be put up on a wall with all the respect possible at the best', ' there are some people you cannot respect at all']
[' there are some people who really need to be put up on a wall with all the respect possible at the best', ' there are some people who really need to be put up on a wall without any respect']
[" is bbc news mentioning the tory election fraud yet ? don't forget to vote today", ' is bbc news mentioning the tory election fraud yet ? why need to vote today']
[" is bbc news mentioning the tory election fraud yet ? don't forget to vote today", ' is bbc news mentioning the tory election fraud yet ? never vote today']
[" is bbc news mentioning the tory election fraud yet ? don't forget to vote today", ' bbc will not mention the tory election fraud']
[' i love traffic', ' i hate traffic']
[' my preferred first language is', ' sarcasm is nor my preferred first language']
[' my preferred first language is', ' my last and nonpreferred is sarcasm']
[" well done emma i think wearing a coat to work today was the smartest thing you've done", " too bad emma i think wearing a coat to work today was the awful thing you've done"]
[" well done emma i think wearing a coat to work today was the smartest thing you've done", " oh no emma i think wearing a coat to work today was the worst thing you've done"]
[" well done emma i think wearing a coat to work today was the smartest thing you've done", ' emma wearing a coat to work today was the dumbest thing you have done']
[" oh yeah and vote us out of europe while you're at it great idea", " oh yeah and vote us out of europe while you're at it bad idea"]
[" oh yeah and vote us out of europe while you're at it great idea", ' horrible idea to vote us out of europe']
[" oh yeah and vote us out of europe while you're at it great idea", ' voting us out of europe is a bad idea']
[" when the teacher says you are here to study that's", " when the teacher says you are not here to study that's"]
[" when the teacher says you are here to study that's", " when the teacher says you are here to study that's is sarcasm"]
[" when the teacher says you are here to study that's", ' when the teacher says you are here to study that s not the case']
[' global warming is a hoax because it is cold today where i live', ' global warming is a hoax because it is hot today where i live']
[' global warming is a hoax because it is cold today where i live', ' global warming is real although it is cold here today']
[' global warming is a hoax because it is cold today where i live', ' just because it is cold where i live today does not mean global warming is a hoax']
[" friends are just so fucking great aren't they ?", " friends are just so fucking bad aren't they ?"]
[" friends are just so fucking great aren't they ?", " friends are just so fucking annoying aren't they ?"]
[" friends are just so fucking great aren't they ?", ' friends are not that great']
[' essays and television and twitter and drinking water real fun lol', ' essays and television and twitter and drinking water not so fun']
[' essays and television and twitter and drinking water real fun lol', ' essays and television and twitter and drinking water real hell yuck']
[' essays and television and twitter and drinking water real fun lol', ' essays and television and twitter and drinking water really boring']
[" my girlfriend needs time and distance i'm wondering is she calculating velocity", " my girlfriend needs time and distance i don't understand her"]
[" my girlfriend needs time and distance i'm wondering is she calculating velocity", " my girlfriend needs time and distance i'm wondering what she is thinking of"]
[' another dirtbag using the outlets in front of our store shocking', ' another dirtbag using the outlets in front of our store not baffled']
[' another dirtbag using the outlets in front of our store shocking', ' another dirtbag using the outlets in front of our store not unexpected']
[" finished my last assignment in my ethics class and it didn't kill me after all i'm just as shocked as you are", " finished my last assignment in my ethics class and it didn't kill me after all i'm not just as shocked as you are"]
[" finished my last assignment in my ethics class and it didn't kill me after all i'm just as shocked as you are", " finished my last assignment in my ethics class and it was too hard i'm just as shocked as you are"]
[" finished my last assignment in my ethics class and it didn't kill me after all i'm just as shocked as you are", ' of course i finished my ethics class']
[" last tweet of the night and i'm out sevilla and villarreal to win tomorrow spain for days in european comps very exciting", " last tweet of the night and i'm out sevilla and villarreal to win tomorrow spain for days in european comps very boring"]
[" last tweet of the night and i'm out sevilla and villarreal to win tomorrow spain for days in european comps very exciting", " last tweet of the night and i'm out sevilla and villarreal to win tomorrow spain for days in european comps not exciting"]
[" nothing like a 10 hr workday turning into a 12 1 2 hr one yeah at least i'm home now", " hate having a 10 hr workday turning into a 12 1 2 hr one stressed out at least i'm home now"]
[" nothing like a 10 hr workday turning into a 12 1 2 hr one yeah at least i'm home now", " damn my 10 hr workday turned into a 12 1 2 hr one at least i'm home now"]
[" down side is my husband is up i'm up and a couple of friends are up and it's midnight we'll be real peaches tomorrow", " down side is my husband is up i'm up and a couple of friends are up and it's midnight we'll be real peaches tomorrow"]
[" down side is my husband is up i'm up and a couple of friends are up and it's midnight we'll be real peaches tomorrow", " down side is my husband is up i'm up and a couple of friends are up and it's midnight we'll be worn up tomorrow"]
[" down side is my husband is up i'm up and a couple of friends are up and it's midnight we'll be real peaches tomorrow", " down side is my husband is up i'm up and a couple of friends are up and it's midnight we'll be really tired tomorrow"]
[' awww dang that really hurt my feelings darn it', " i don't care about it"]
[' awww dang that really hurt my feelings darn it', ' my feelings are not hurt']
[" really you're doing a great job at making me feel useless and irresponsible thanks for that", " don't make me feel useless and irresponsible i hate it"]
[" really you're doing a great job at making me feel useless and irresponsible thanks for that", " i don't like it that you are making me feel useless and irresponsible"]
[" i didn't watch lemonade i just know that women be angry thanks jayz", " i didn't watch lemonade i just know that women be angry no thanks jayz"]
[" i didn't watch lemonade i just know that women be angry thanks jayz", " i didn't watch lemonade i just know that women be angry dang jayz"]
[" i didn't watch lemonade i just know that women be angry thanks jayz", ' jayz why did you make her angry ?']
[" it's nice seeing how racist the us is becoming", ' it so bad seeing how racist the us is becoming']
[" it's nice seeing how racist the us is becoming", " it's horrible seeing how racist the us is becoming"]
[" it's nice seeing how racist the us is becoming", ' it sucks seeing how racist the us is becoming']
[' panic attacks rock', " panic attacks don't rock"]
[' panic attacks rock', ' panic attacs are horrible']
[' panic attacks rock', ' panic attacks are the worst']
[" if i text you everyday feel special motherfucker it's a lot of people still waiting on a reply", " i won't text you everyday motherfucker it's a lot of people still waiting on a reply"]
[" if i text you everyday feel special motherfucker it's a lot of people still waiting on a reply", ' if i text you every day don t feel special as i treat others the same way']
[' do you think if i start posting about where i side in the election it will cause people i disagree with to start deleting me ?', ' people will delete me if i post where i side in the election']
[' love being replaced', ' hate being replaced']
[' love being replaced', ' i hate being replaced']
[' nice to know i have such a supportive husband', ' bad to know i have such a not supportive husband']
[' nice to know i have such a supportive husband', ' sad to know i have unsupportive husband']
[' nice to know i have such a supportive husband', ' sad to realise how unsupportive my husband is']
[' nice to know i have such a supportive husband', ' disappointed to know that i don t have a supportive husband']
[' i love how retweets show up in the what i missed section now', ' i hate how retweets show up in the what i missed section now']
[' i love how retweets show up in the what i missed section now', ' i don t like how retweets show up in the what i missed section now']
[' by not training for martial arts to counter rape that means you are allowing yourself to be raped great logic 10 10', ' by not training for martial arts to counter rape does not means you are allowing yourself to be raped great logic 10 10']
[' by not training for martial arts to counter rape that means you are allowing yourself to be raped great logic 10 10', ' by not training for martial arts to counter rape that means you are allowing yourself to be raped not logical at all']
[' by not training for martial arts to counter rape that means you are allowing yourself to be raped great logic 10 10', ' by not training for martial arts to counter rape that means you are allowing yourself to be raped pathetic logic 0 10']
[' oh boy looks like another weekend of national broadcasts of yankees red sox i guess there are no other games this weekend', ' oh boy looks like another weekend of national broadcasts of yankees red sox why showing that always']
[' oh boy looks like another weekend of national broadcasts of yankees red sox i guess there are no other games this weekend', ' oh boy looks like another weekend of national broadcasts of yankees red sox yet there are other better games this weekend']
[' oh boy looks like another weekend of national broadcasts of yankees red sox i guess there are no other games this weekend', ' oh boy looks like another weekend of national broadcasts of yankees red sox although there are so many other games around']
[' awesome', ' awful']
[' awesome', ' disappointing']
[' seems to me we should let climate change be survival of the fittest can happen and the next species in evolution can take over', ' seems to me we should not let climate change continue it would place us on the brink of extinction']
[' seems to me we should let climate change be survival of the fittest can happen and the next species in evolution can take over', ' we should stop the climate change']
[" suddenly it's 10 am this summer is the best ever", " suddenly it's 10 am this summer is the worst ever"]
[" suddenly it's 10 am this summer is the best ever", " suddenly it's 10 am this summer is not great"]
[' finally got to donate plasma and it only took 4 hours and i was hooked up for an hour and a half it was so fuckin lit', ' finally got to donate plasma and it only took 4 hours and i was hooked up for an hour and a half it was so fuckin annoying']
[' finally got to donate plasma and it only took 4 hours and i was hooked up for an hour and a half it was so fuckin lit', " finally got to donate plasma and it only took 4 hours and i was hooked up for an hour and a half it wasn't amusing at all"]
[' so glad the pens picked pouliot over forsberg', ' so sad the pens picked pouliot over forsberg']
[' so glad the pens picked pouliot over forsberg', ' not happy the pens picked pouliot over forsberg']
[' so glad the pens picked pouliot over forsberg', ' gutted the pens picked pouliot over forsberg']
[" god blessed me with the gift of and i never want to take it for granted so i use my gift daily i don't ever wanna let him down", " god blessed me with the gift of and i never want to take it for granted so i use my gift daily i don't ever wanna let him down"]
[' i wonder what peeps said about radiohead making a stop motion animated video since in a whiny voice cartoons are for kids', ' i wonder what peeps said about radiohead making a stop motion animated video since in a whiny voice cartoons are not for kids only']
[' good on malcom turnball', ' too bad on malcom turnball']
[' good on malcom turnball', ' very bad malcom turnball']
[" two questionable replays this inning and it screws up morgan's rhythm it's been so good for the game", " two questionable replays this inning and it screws up morgan's rhythm it's been so bad for the game"]
[" might as well be a robot with this amazing life i'm living", " might as well be a robot with this bad life i'm living"]
[" might as well be a robot with this amazing life i'm living", " might as well be a robot with this boring life i'm living"]
[" might as well be a robot with this amazing life i'm living", ' might as well be a robot with this hopeless life am living']
[' the flower crown has got to goooooooooo coachella was months ago', ' the flower crown has got to goooooooooo coachella was months ago']
[" making flash cards for my exams tomorrow i'm having fun", " making flash cards for my exams tomorrow i'm working hard"]
[" making flash cards for my exams tomorrow i'm having fun", ' i am not enjoying making these flash cards for my exams tomorrow']
[" mr wall your handwriting needs to be a font it's like not messy but it's unique lol nvr heard that 1 b4", " mr wall your handwriting needs to be a font it's like not messy but it's not unique lol nvr heard that 1 b4"]
[" mr wall your handwriting needs to be a font it's like not messy but it's unique lol nvr heard that 1 b4", " mr wall your handwriting needs to be a font it's likemessy and weird lol nvr heard that 1"]
[" mr wall your handwriting needs to be a font it's like not messy but it's unique lol nvr heard that 1 b4", " mr wall your handwriting needs to be a font it's like not messy but it's unique lol i have heard that one before"]
[' trump on cnn amazing he should be observed studied in the name of behavioral sciences', ' trump on cnn too bad he should be observed studied in the name of behavioral sciences']
[' trump on cnn amazing he should be observed studied in the name of behavioral sciences', ' trump on cnn annoying he should be observed studied in the name of behavioral sciences']
[' trump on cnn amazing he should be observed studied in the name of behavioral sciences', ' trump on cnn awful he should be observed studied in the name of behavioural sciences']
[' these referees are really good guys really good', ' these referees are really bad guys really bad']
[" omg they're so cool and relateable celebs are just like us guys hahahahahahahaha", " omg they're so cool and relateable celebs are nothing like us guys hahahahahahahaha"]
[" studying for apush is so relaxing like why didn't i start studying earlier i'm having so much fun", " studying for apush is so stressing like why didn't i start studying earlier i'm having facing so much work"]
[" studying for apush is so relaxing like why didn't i start studying earlier i'm having so much fun", " studying for apush is so stressful like why didn't i start studying earlier i'm having so much stress"]
[" studying for apush is so relaxing like why didn't i start studying earlier i'm having so much fun", ' studying for a push is so exhausting i am not having fun at all']
[' huge crashes at gila ? never', ' huge crashes at gila ? never']
[' huge crashes at gila ? never', ' huge crashes at gila ? normal']
[' huge crashes at gila ? never', ' huge crashes at gila ? always']
[" well tonight's ride home was loads of fun", " well tonight's ride home was so boring"]
[" well tonight's ride home was loads of fun", " well tonight's ride home was not at all enjoyable"]
[" what's that browyn ? you were asked to resign to protect abbott ? well gee we'd never have worked that out ourselves", " what's that browyn ? you were asked to resign to protect abbott ? well gee we'd could have worked that out ourselves"]
[' arrow tonight oh boy', ' arrow tonight oh boy']
[' arrow tonight oh boy', ' arrow tonight that is great']
[' arrow tonight oh boy', ' arrow tonight not exciting']
[' friends that ignore you in favor of a new bf gf are the best', ' friends that ignore you in favor of a new bf gf are the worst']
[' friends that ignore you in favor of a new bf gf are the best', ' the worst friends are those who ignore you in favor of a new bg gf']
[' you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch you bought your followers', ' you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch how did you come about it ?']
[' you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch you bought your followers', ' you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch your followers are disinterested with your tweets']
[' yay baked chicken breast yum', ' no baked chicken breast']
[' yay baked chicken breast yum', " don't feel like eating baked chicken breast"]
[' yay baked chicken breast yum', " i don't like baked chicken breast"]
[' a tumble weed just slowly blew across a bike lane on harbord somewhere between ossington amp st george yay bloor bike lanes', ' a tumble weed just slowly blew across a bike lane on harbord somewhere between ossington amp st george yay bloor bike lanes']
[" oh and the day isn't over yet there's more to come", ' oh and the day is over already there is nothing more to come']
[" oh and the day isn't over yet there's more to come", ' i wish this day would just end']
[" i don't know about anyone else but i am glad we'll now be able to hear trump without all the background noise", " i don't know about anyone else but i am glad we'll now be able to hear trump without all the background noise"]
[" i don't know about anyone else but i am glad we'll now be able to hear trump without all the background noise", ' i wish we would not be able to hear trump']
[" i don't know about anyone else but i am glad we'll now be able to hear trump without all the background noise", " i don't know about anyone else but i am not happy we'll now be able to hear trump without all the background noise"]
[' 1011 f fever today oh goody', ' 1011 f fever today oh too bad']
[' 1011 f fever today oh goody', ' fever today oh nasty']
[' this room is like 10 women but it s ok there s nothing wrong with computer science everything is fine', ' this room is like 10 women but it s ok there s nothing wrong with computer science everything is fine']
[' this room is like 10 women but it s ok there s nothing wrong with computer science everything is fine', ' this room is like 10 women there must be something wrong with computer science something is not ok']
[" i'm so glad i moved home", " i'm so sad i moved home"]
[" i'm so glad i moved home", " i'm unhappy moved home"]
[" i'm so glad i moved home", ' i am so gutted i moved home']
[' i love how corporations like to do the bare minimum that ada allows', ' i hate how corporations like to do the bare minimum that ada allows']
[' oh what a fantastic 2 weeks it has been', ' oh what an awful 2 weeks it has been']
[' oh what a fantastic 2 weeks it has been', ' yuck what a bummer 2 weeks it has been']
[' oh what a fantastic 2 weeks it has been', ' oh what a dreadful 2 weeks it has been']
[' csections are just way too pleasant', ' csections are just way not pleasant']
[' csections are just way too pleasant', ' csections are very unpleasant']
[' the men in my life are just a work of art', ' the men in my life are not functioning']
[' the men in my life are just a work of art', ' the men in my life are just useless']
[' the men in my life are just a work of art', ' the men in my life are such a joke']
[' me they the marlies are awesome and my friend my brother you have friends ? haha you are so funny', ' me they the marlies are awesome and my friend my brother you have friends ? haha you are so funny']
[' me they the marlies are awesome and my friend my brother you have friends ? haha you are so funny', ' i said my friends the marles are awesome but my brother thinks i have no friends']
[' also streams of vulgarity door slamming and knocking over items and blabbing about how picky you are was a nice touch', ' also streams of vulgarity door slamming and knocking over items and blabbing about how picky you are was a bad touch']
[' royals are having a fun game', ' royals are having a boring game']
[' royals are having a fun game', ' royals are having a terrible game']
[" aeropostale just filed for chapter 11 bankruptcy didn't see that coming", ' aeropostale just filed for chapter 11 bankruptcy saw it coming']
[" aeropostale just filed for chapter 11 bankruptcy didn't see that coming", ' aeropostale just filed for chapter 11 bankruptcy it was imminent']
[' the shit you tweet with the passport size photo of yours', ' the shit you tweet with the passport size photo of yours']
[" papa john's beat on earnings pzza up 8 guess that's where peyton manning is spending all his free time in retirement", " papa john's beat on earnings pzza up 8 guess that's where peyton manning is spending all his free time in retirement"]
[' men women belong in the kitchen women you wish asshole', ' men women belong in the kitchen women you wish asshole']
[' men women belong in the kitchen women you wish asshole', " men women belong in the kitchen women you wish we're useless ?"]
[' lois talking about the death of her 12 year old car is so heartbreaking', ' lois talking about the death of her 12 year old car is so funny']
[' lois talking about the death of her 12 year old car is so heartbreaking', ' lois talking about the breakage of her 12 year old car is so ridiculous']
[' lois talking about the death of her 12 year old car is so heartbreaking', ' lois talking about the death of her 12 year old car is so hilarious']
[' empowertising my new favorite word none of that going in silicon valley no not at all', ' empowertising my new favorite word all of that going in silicon valley all']
[' empowertising my new favorite word none of that going in silicon valley no not at all', ' empowertising my new hated word none of that going in silicon valley no not at all']
[' so much fun taking the underground with manchester city and real madrid fans', ' not much fun taking the underground with manchester city and real madrid fans']
[' so much fun taking the underground with manchester city and real madrid fans', ' it is hellish taking the underground with manchester city and real madrid fans']
[' so much fun taking the underground with manchester city and real madrid fans', ' i am not enjoying taking the underground with manchester city and real madrid fans']
[" it's official congratulations gop you built that you must be so proud", " it's official congratulations gop you built that you must be so proud"]
[" it's official congratulations gop you built that you must be so proud", ' gop you built that you should be ashamed of yourself']
[" so i've had my scan aaaand i have a large cyst either attached to my ovary or my bowel they don't know fucking awesome", " so i've had my scan aaaand i have a large cyst either attached to my ovary or my bowel they don't know fucking awful"]
[" so i've had my scan aaaand i have a large cyst either attached to my ovary or my bowel they don't know fucking awesome", " so i've had my scan aaaand i have a large cyst either attached to my ovary or my bowel they don't know fucking horrible"]
[" so i've had my scan aaaand i have a large cyst either attached to my ovary or my bowel they don't know fucking awesome", " so i've had my scan aaaand i have a large cyst either attached to my ovary or my bowel they don't know fucking horrible"]
[" shoutout to the girl who keeps smoking in the school bathroom you're the real mvp", " i pity the girl who keeps smoking in the school bathroom you're not helping yourself"]
[" shoutout to the girl who keeps smoking in the school bathroom you're the real mvp", " shame to the girl who keeps smoking in the school bathroom you're useless"]
[" shoutout to the girl who keeps smoking in the school bathroom you're the real mvp", ' the girl who keeps smoking in the school bathroom sucks']
[" i wonder if there are so few grad students at seminar because we don't get enough emails about it", " i wonder if there are so many grad students at seminar because we don't get enough emails about it"]
[" i wonder if there are so few grad students at seminar because we don't get enough emails about it", ' we get email about seminars all the time']
[' this bizarre combination of earache congested ears chest cough has sidelined me for the past day any think pieces i need to read ?', ' this bizarre combination of earache congested ears chest cough has sidelined me for the past day']
[' this bizarre combination of earache congested ears chest cough has sidelined me for the past day any think pieces i need to read ?', " this bizarre combination of earache congested ears chest cough has sidelined me for the past day i guess i didn't miss anything on twitter"]
[' well what a surprise', ' well not a surprise']
[' well what a surprise', ' well not surprising']
[' well what a surprise', ' well this was expected']
[' the computer center has amazing customer service', ' the computer center has bad customer service']
[' the computer center has amazing customer service', ' the computer center has an awful customer service']
[' the computer center has amazing customer service', ' the computer center has very bad customer service']
[' the developers of one of the biggest video game flops in history is going to be developing the new star wars game thanks ea', ' the developers of one of the biggest video game flops in history is going to be developing the new star wars game thanks ea']
[' the developers of one of the biggest video game flops in history is going to be developing the new star wars game thanks ea', " the developers of one of the biggest video game flops in history is going to be developing the new star wars game that's horrible"]
[' the developers of one of the biggest video game flops in history is going to be developing the new star wars game thanks ea', ' the developers of one of the biggest video game flops in history is going to be developing the new star wars game ea disappoints']
[" didn't mean to send you that but thanks for the response", ' i meant to send you that and thanks for the response']
[" didn't mean to send you that but thanks for the response", " didn't mean to send you that but i'm irritated by the response"]
